period,ratio,keyword
2025-03-03,16.87958,반팔
2025-03-04,13.54534,반팔
2025-03-05,14.86817,반팔
2025-03-06,15.99166,반팔
2025-03-07,14.30642,반팔
2025-03-08,15.90106,반팔
2025-03-09,21.49134,반팔
2025-03-10,20.70308,반팔
2025-03-11,25.86753,반팔
2025-03-12,23.46652,반팔
2025-03-13,22.17087,반팔
2025-03-14,23.1494,반팔
2025-03-15,25.84941,반팔
2025-01-15,100.0,패딩
2025-01-16,86.91673,패딩
2025-01-17,78.55395,패딩
2025-01-18,76.76904,패딩
2025-01-19,74.25024,패딩
2025-01-20,60.82268,패딩
2025-01-21,57.99583,패딩
2025-01-22,52.4599,패딩
2025-01-23,51.2458,패딩
2025-01-24,42.78336,패딩
2025-01-25,47.32264,패딩
2025-01-26,48.2468,패딩
2025-01-27,51.2458,패딩
2025-01-28,55.03307,패딩
2025-01-29,59.41832,패딩
2025-01-30,63.48645,패딩
2025-01-31,59.73543,패딩
2025-02-01,59.99818,패딩
2025-02-02,63.37772,패딩
2025-02-03,74.03279,패딩
2025-02-04,89.34493,패딩
2025-02-05,94.81743,패딩
2025-02-06,80.7647,패딩
2025-02-07,88.68351,패딩
2025-02-08,89.04593,패딩
2025-02-09,87.30633,패딩
2025-02-10,68.46063,패딩
2025-02-11,54.66159,패딩
2025-02-12,55.22333,패딩
2025-02-13,49.66929,패딩
2025-02-14,42.56591,패딩
2025-02-15,44.20585,패딩
2025-02-16,45.90015,패딩
2025-02-17,44.86726,패딩
2025-02-18,46.76995,패딩
2025-02-19,48.50955,패딩
2025-02-20,44.36894,패딩
2025-02-21,40.11053,패딩
2025-02-22,45.98169,패딩
2025-02-23,51.71695,패딩
2025-02-24,46.05418,패딩
2025-02-25,39.37664,패딩
2025-02-26,34.94609,패딩
2025-02-27,31.06822,패딩
2025-02-28,24.95243,패딩
2025-03-01,25.22424,패딩
2025-03-02,24.80746,패딩
2025-03-03,30.59708,패딩
2025-03-04,29.56419,패딩
2025-03-05,27.40781,패딩
2025-03-06,22.66014,패딩
2025-03-07,21.3645,패딩
2025-03-08,21.13799,패딩
2025-03-09,21.72691,패딩
2025-03-10,18.22053,패딩
2025-03-11,15.18528,패딩
2025-03-12,13.48192,패딩
2025-03-13,12.45809,패딩
2025-03-14,10.72755,패딩
2025-03-15,12.19534,패딩
